-DO NOT REMOVE THIS LINE | TO CLEAR THE ERROR LOG, DELETE ALL LINES AFTER THIS TEXT-
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-16-2019 18:48 | GenerateDTRController | Trying to get property 'empid' of non-object (GDTRC00002)
09-16-2019 18:48 | GenerateDTRController | Trying to get property 'empid' of non-object (GDTRC00002)
09-23-2019 10:34 | DTR | Undefined variable: offce (D00004)
09-23-2019 10:48 | DTR | SQLSTATE[42703]: Undefined column: 7 ERROR:  column "date_from" does not exist LINE 1: select * from "hr_dtr_sum_employees" where "date_from" = $1                                                    ^ (SQL: select * from "hr_dtr_sum_employees" where "date_from" = 2019-08-26) (D00004)
09-23-2019 10:50 | DTR | SQLSTATE[42703]: Undefined column: 7 ERROR:  column "dtr_sum_id" does not exist LINE 1: select * from "hr_dtr_sum_hdr" where "dtr_sum_id" = $1                                              ^ (SQL: select * from "hr_dtr_sum_hdr" where "dtr_sum_id" = 00000150) (D00004)
